A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,Country,Fitness,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
1.0,0.0,1.0,1.0,#,#,0.0,1.0,#,1.0,0.0,0.0,0.08230292268856387,934.464,117.96479999999997,4.3776175959427164e-07,1,25.721472,4885,3,0.7272727272727273,0.0007039024517597538,10,21
1.0,1.0,0.0,1.0,0.0,1.0,1.0,#,#,1.0,1.0,1.0,0.16934316498716537,1000.0,0.0,1.0,1,29.24608,4101,5,0.8181818181818182,0.0008003580594595014,9,10
#,0.0,#,#,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.044473326888567546,429.0334720000001,407.34815573333333,8.916023984363259e-10,2,21.823298559999998,4518,7,0.7272727272727273,0.0011944474532304453,13,22
1.0,0.0,#,#,1.0,1.0,0.0,1.0,0.0,#,#,1.0,0.0034611141756606995,784.05625856,344.3006286506667,2.0668593394548603e-09,1,21.121488199679998,3708,8,0.6363636363636364,0.00057801774830653,15,36
#,1.0,0.0,0.0,#,1.0,0.0,0.0,#,#,1.0,1.0,0.05318792772584546,749.5073046528,332.0663506944,2.4767128239187487e-09,1,22.104722216769552,4703,10,0.6363636363636364,0.000604925261036864,22,40
0.0,0.0,0.0,1.0,#,1.0,#,#,1.0,0.0,#,0.0,0.1716743672500994,0.0,0.0,1.0,1,29.97168447488,4228,11,0.6363636363636364,0.0008202151955081647,15,39
0.0,#,0.0,#,1.0,1.0,1.0,1.0,1.0,0.0,#,1.0,0.03464786563474806,763.2512,329.9191466666666,2.55836437229422e-09,1,16.4008704,3432,11,0.7272727272727273,0.00044883173426287474,11,20
1.0,1.0,1.0,1.0,#,0.0,#,0.0,#,1.0,0.0,0.0,0.3890950265531514,1000.0,0.0,1.0,1,19.1977856,4035,17,0.7272727272727273,0.0005253730561065128,14,20
#,0.0,0.0,#,#,0.0,#,1.0,0.0,1.0,0.0,1.0,0.02502793522611633,961.1786808310454,112.38141836423654,5.578628675935356e-07,1,15.364216157885943,4953,21,0.6363636363636364,0.00042046230569163154,27,37
#,1.0,0.0,#,1.0,0.0,1.0,#,#,0.0,#,1.0,0.16327360150894676,0.0,0.0,1.0,4,26.71224476663007,4880,22,0.5454545454545454,0.0029240650897798632,32,76
1.0,#,1.0,0.0,0.0,#,1.0,#,0.0,0.0,0.0,0.0,0.19841270503297212,1000.0,0.0,1.0,2,26.321151897599997,4121,25,0.7272727272727273,0.0014406269869672726,15,21
1.0,0.0,#,#,#,#,#,0.0,0.0,1.0,#,1.0,0.5421710583246718,0.0,0.0,1.0,4,17.010937136828105,4910,29,0.45454545454545453,0.0018621081028868565,29,155
#,0.0,1.0,0.0,#,1.0,1.0,0.0,#,#,1.0,0.0,0.006760364779668753,592.2424573132799,395.88472024814934,1.0283863435221506e-09,1,20.257461724774398,4989,31,0.6363636363636364,0.0005543725092598926,18,39
#,0.0,0.0,1.0,1.0,0.0,#,#,0.0,0.0,1.0,1.0,0.08900823918581147,876.13696,206.56947199999996,2.6586997993739074e-08,1,21.061263769599996,4708,45,0.7272727272727273,0.000576369626302115,14,24
1.0,1.0,1.0,0.0,1.0,#,1.0,1.0,0.0,#,1.0,0.0,0.2992959229758294,0.0,0.0,1.0,1,20.0,4772,47,0.8181818181818182,0.000547326725126582,4,10
1.0,0.0,0.0,0.0,#,1.0,0.0,#,#,#,1.0,0.0,0.016601958889781034,807.8800243982337,315.0500594502861,3.2218266569453844e-09,1,17.246962202565673,4862,74,0.6363636363636364,0.0004719861670356106,21,42
0.0,#,0.0,0.0,1.0,0.0,1.0,1.0,#,#,1.0,0.0,0.14426857700110024,1000.0,0.0,1.0,1,19.2796156928,4227,82,0.7272727272727273,0.0005276124459419641,14,21
0.0,#,0.0,0.0,1.0,#,#,1.0,#,1.0,1.0,0.0,0.0014180194337685707,877.5449079093657,208.28689462792465,2.5508814439921398e-08,1,19.134273745706025,4453,82,0.6363636363636364,0.025112132310276793,21,39
0.0,#,1.0,1.0,#,#,1.0,1.0,1.0,1.0,0.0,1.0,0.007784633562896121,934.464,149.64053333333328,1.3327655643434882e-07,1,22.168384,2286,87,0.7272727272727273,0.0006066674508034259,10,21
1.0,0.0,0.0,#,0.0,#,#,0.0,1.0,#,#,1.0,0.6167284179551783,0.0,0.0,1.0,2,19.435911876608003,4981,91,0.5454545454545454,0.00106377939972727,16,77
1.0,1.0,0.0,0.0,#,#,1.0,0.0,0.0,1.0,1.0,1.0,0.2228713975700438,1000.0,0.0,1.0,1,28.584,2250,93,0.8181818181818182,0.0007822393555509111,7,11
0.0,#,0.0,1.0,0.0,0.0,#,0.0,0.0,0.0,#,0.0,0.011460135781357031,513.61685504,430.3664960853333,6.773415678100657e-10,1,17.54914772992,4539,138,0.7272727272727273,0.0004802558777889853,15,19
0.0,0.0,1.0,1.0,#,#,#,0.0,1.0,0.0,0.0,0.0,0.08309422897188468,558.08,347.4773333333334,1.9740929630068455e-09,1,21.10432,4585,174,0.7272727272727273,0.0005775479175811714,9,21
1.0,0.0,#,#,#,#,0.0,1.0,1.0,#,#,1.0,0.312917413306355,1000.0,0.0,1.0,7,28.96515654376098,4864,175,0.45454545454545453,0.00554869149585642,116,151
1.0,#,#,0.0,0.0,0.0,#,0.0,#,0.0,0.0,1.0,0.27341201903727913,0.0,0.0,1.0,1,30.829248,4281,185,0.6363636363636364,0.0008436835672977615,10,36
1.0,1.0,0.0,0.0,#,#,#,0.0,0.0,1.0,#,1.0,0.09955698271307695,1000.0,0.0,1.0,1,36.5820465676252,4703,186,0.6363636363636364,0.0010011165873143211,30,39
1.0,#,#,0.0,1.0,#,#,0.0,0.0,0.0,1.0,1.0,0.008430276393347688,625.952083968,415.7331461461333,8.052425962482137e-10,1,17.659246944256,4721,222,0.6363636363636364,0.0004832688899100619,16,37
1.0,#,1.0,#,#,1.0,#,#,0.0,0.0,0.0,0.0,0.11538915326375097,1000.0,0.0,1.0,1,25.830590263395127,4900,280,0.5454545454545454,0.0007068886188475316,53,75
1.0,0.0,#,#,#,#,#,1.0,1.0,1.0,#,0.0,0.12476209860241232,0.0,0.0,1.0,2,29.846619338336524,4756,358,0.45454545454545453,0.0016335852418551443,34,141
#,1.0,1.0,1.0,#,1.0,0.0,0.0,1.0,#,#,1.0,0.058058278216409104,322.7795456,363.14349568,1.5834656647809875e-09,1,18.339074048,4611,392,0.6363636363636364,0.0005018732670272866,14,37
1.0,#,#,0.0,0.0,0.0,#,1.0,1.0,0.0,#,0.0,0.004894391589957175,543.13109504,432.87189367466664,6.579654054150381e-10,1,19.750623006719998,4159,535,0.6363636363636364,0.0005405021904738892,15,34
1.0,#,0.0,1.0,#,0.0,#,#,0.0,0.0,1.0,1.0,0.00426294557613896,321.17681815552,391.51713456401063,1.0870415200435634e-09,1,18.707117672529918,4795,582,0.6363636363636364,0.0005119452726131704,18,35
#,0.0,#,1.0,#,0.0,0.0,1.0,1.0,#,#,0.0,0.019398345227030774,89.75274360176641,183.7430831316992,4.7746880555105185e-08,1,26.713512954606387,4775,666,0.5454545454545454,0.0007310509781035619,20,67
0.0,#,0.0,0.0,#,0.0,#,#,1.0,#,1.0,0.0,0.2054202950354414,1000.0,0.0,1.0,1,19.475456790850576,4666,693,0.5454545454545454,0.000532971899284025,46,65
#,0.0,0.0,#,0.0,#,0.0,1.0,0.0,0.0,1.0,1.0,0.009160034124299016,934.464,149.64053333333328,1.3327655643434882e-07,1,25.775936,3776,731,0.7272727272727273,0.0007053929318976186,10,16
1.0,0.0,0.0,#,#,#,0.0,1.0,1.0,#,#,1.0,0.046740494527789445,1000.0,0.0,1.0,1,30.345865156079107,4864,768,0.5454545454545454,0.0008304551498504816,50,65
1.0,1.0,0.0,#,#,#,#,#,0.0,0.0,#,0.0,0.5153581811226274,1000.0,0.0,1.0,3,14.154630266470825,4542,778,0.45454545454545453,0.0011620811143687613,88,129
