Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Action Set Size,Average Iteration Age of Action Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total GA Time,Total Evaluation Time
0,0.0,0,2,2,2,1,0.0,0,0,0,2,0,0.00014901161193847656,7.510185241699219e-05,1.9073486328125e-06,0.0,0.0,0.0
1,0.0,0,3,3,2,1,1.0,0,0,0,1,0,0.00022602081298828125,0.00010704994201660156,2.86102294921875e-06,0.0,0.0,6.198883056640625e-06
2,0.5,0,5,5,2,1,0.0,0,0,0,2,0,0.0002942085266113281,0.00014400482177734375,4.0531158447265625e-06,0.0,0.0,1.049041748046875e-05
3,0.5,0,7,7,2,1,0.0,0,0,0,2,0,0.0003631114959716797,0.0001838207244873047,5.0067901611328125e-06,0.0,0.0,1.3589859008789062e-05
4,0.5,0,9,9,2,1,0.0,0,0,0,2,0,0.00043320655822753906,0.00022268295288085938,5.9604644775390625e-06,0.0,0.0,1.6689300537109375e-05
5,0.6666666666666666,0,10,10,2,1,0.0,0,0,0,1,0,0.0004992485046386719,0.0002589225769042969,5.9604644775390625e-06,0.0,0.0,1.9550323486328125e-05
6,0.5,0,12,12,2,1,0.0,0,0,0,2,0,0.00057220458984375,0.0003020763397216797,6.9141387939453125e-06,0.0,0.0,2.2411346435546875e-05
7,0.5,0,14,14,2,1,0.0,0,0,0,2,0,0.0006461143493652344,0.00034809112548828125,7.867813110351562e-06,0.0,0.0,2.5510787963867188e-05
8,0.6,0,15,15,4,2,3.0,0,0,0,1,0,0.0007331371307373047,0.0004000663757324219,8.821487426757812e-06,0.0,0.0,2.7418136596679688e-05
9,0.5,0,17,17,2,1,0.0,0,0,0,2,0,0.0008103847503662109,0.00044918060302734375,1.0013580322265625e-05,0.0,0.0,3.0279159545898438e-05
10,0.5,0,19,19,2,1,0.0,0,0,0,2,0,0.0008959770202636719,0.0005052089691162109,1.0013580322265625e-05,0.0,0.0,3.337860107421875e-05
11,0.5714285714285714,0,21,21,2,1,0.0,0,0,0,2,0,0.0009772777557373047,0.0005571842193603516,1.0013580322265625e-05,0.0,0.0,3.7670135498046875e-05
12,0.625,0,22,22,2,1,0.0,0,0,0,1,0,0.0010521411895751953,0.0006041526794433594,1.0967254638671875e-05,0.0,0.0,4.076957702636719e-05
13,0.625,0,24,24,2,1,0.0,0,0,0,2,0,0.0011332035064697266,0.0006561279296875,1.1920928955078125e-05,0.0,0.0,4.3392181396484375e-05
14,0.6666666666666666,0,26,26,2,1,0.0,0,0,0,2,0,0.001215219497680664,0.0007081031799316406,1.1920928955078125e-05,0.0,0.0,4.6253204345703125e-05
15,0.6666666666666666,0,27,27,2,1,0.0,0,0,0,1,0,0.0012962818145751953,0.0007612705230712891,1.3113021850585938e-05,0.0,0.0,4.9114227294921875e-05
16,0.7,0,28,28,2,1,0.0,0,0,0,1,0,0.001377105712890625,0.0008141994476318359,1.4066696166992188e-05,0.0,0.0,5.1021575927734375e-05
17,0.7272727272727273,0,29,29,2,1,0.0,0,0,0,1,0,0.0014619827270507812,0.0008709430694580078,1.4066696166992188e-05,0.0,0.0,5.412101745605469e-05
18,0.75,0,31,31,2,1,0.0,0,0,0,2,0,0.0015490055084228516,0.0009310245513916016,1.5020370483398438e-05,0.0,0.0,5.7220458984375e-05
19,0.75,0,32,32,4,2,12.5,0,0,0,1,0,0.0016541481018066406,0.0010008811950683594,1.5974044799804688e-05,0.0,0.0,6.031990051269531e-05
20,0.75,0,33,33,3,1,0.0,0,0,0,1,0,0.0017452239990234375,0.0010628700256347656,1.5974044799804688e-05,0.0,0.0,6.341934204101562e-05
21,0.75,0,34,34,3,1,0.0,0,0,0,1,0,0.0018343925476074219,0.0011219978332519531,1.71661376953125e-05,0.0,0.0,6.628036499023438e-05
22,0.75,0,36,36,2,1,0.0,0,0,0,2,0,0.0019352436065673828,0.001194000244140625,1.71661376953125e-05,0.0,0.0,7.104873657226562e-05
23,0.6923076923076923,0,37,37,3,2,6.5,0,0,0,1,0,0.002047300338745117,0.001271963119506836,1.8358230590820312e-05,0.0,0.0,7.414817810058594e-05
24,0.6428571428571429,0,38,38,2,1,0.0,0,0,0,1,0,0.002147197723388672,0.0013418197631835938,1.8358230590820312e-05,0.0,0.0,7.724761962890625e-05
25,0.6428571428571429,0,39,39,2,1,10.0,0,0,0,1,0,0.0022411346435546875,0.0014064311981201172,1.9311904907226562e-05,0.0,0.0,8.034706115722656e-05
