Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Action Set Size,Average Iteration Age of Action Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total GA Time,Total Evaluation Time
0,0,0,2,2,2,1,0.0,0,0,0,2,0,0.00017404556274414062,8.106231689453125e-05,1.9073486328125e-06,3.0994415283203125e-06,0.0,0.0
1,0,0,4,4,2,1,0.0,0,0,0,2,0,0.0002570152282714844,0.0001220703125,3.0994415283203125e-06,4.0531158447265625e-06,0.0,5.245208740234375e-06
2,0,0,6,6,2,1,0.0,0,0,0,2,0,0.00033092498779296875,0.0001609325408935547,4.0531158447265625e-06,5.0067901611328125e-06,0.0,8.344650268554688e-06
3,0,0,8,8,2,1,0.0,0,0,0,2,0,0.0004050731658935547,0.00020194053649902344,5.245208740234375e-06,5.9604644775390625e-06,0.0,1.1444091796875e-05
4,0,0,10,10,2,1,0.0,0,0,0,2,0,0.0004801750183105469,0.00024509429931640625,6.198883056640625e-06,6.9141387939453125e-06,0.0,1.33514404296875e-05
5,0,0,11,11,3,2,1.5,0,0,0,1,0,0.0005669593811035156,0.00029206275939941406,7.3909759521484375e-06,7.867813110351562e-06,0.0,1.5497207641601562e-05
6,0,0,13,13,2,1,0.0,0,0,0,2,0,0.0006470680236816406,0.0003409385681152344,7.3909759521484375e-06,8.821487426757812e-06,0.0,1.8596649169921875e-05
7,0,0,14,14,2,1,2.0,0,0,0,1,0,0.0007221698760986328,0.0003819465637207031,8.58306884765625e-06,9.775161743164062e-06,0.0,2.1696090698242188e-05
8,0,0,15,15,2,1,5.0,0,0,0,1,0,0.0007929801940917969,0.0004220008850097656,9.5367431640625e-06,1.1920928955078125e-05,0.0,2.47955322265625e-05
9,0,0,16,16,2,1,0.0,0,0,0,1,0,0.0008680820465087891,0.0004639625549316406,1.0728836059570312e-05,1.3113021850585938e-05,0.0,2.6941299438476562e-05
10,0,0,17,17,2,1,5.0,0,0,0,1,0,0.0009429454803466797,0.0005068778991699219,1.1444091796875e-05,1.52587890625e-05,0.0,2.8848648071289062e-05
11,0,0,19,19,2,1,0.0,0,0,0,2,0,0.0010311603546142578,0.0005619525909423828,1.2636184692382812e-05,1.621246337890625e-05,0.0,3.075599670410156e-05
12,0,0,20,20,2,1,11.0,0,0,0,1,0,0.0011081695556640625,0.0006082057952880859,1.3589859008789062e-05,1.811981201171875e-05,0.0,3.3855438232421875e-05
13,0,0,21,21,2,1,0.0,0,0,0,1,0,0.001184225082397461,0.000652313232421875,1.3589859008789062e-05,1.9311904907226562e-05,0.0,3.5762786865234375e-05
14,0,0,22,22,2,1,0.0,0,0,0,1,0,0.0012619495391845703,0.0006992816925048828,1.4543533325195312e-05,2.0503997802734375e-05,0.0,3.743171691894531e-05
15,0,0,23,23,2,1,4.0,0,0,0,1,0,0.0013439655303955078,0.0007503032684326172,1.5735626220703125e-05,2.1457672119140625e-05,0.0,3.9577484130859375e-05
16,0,0,24,24,2,1,15.0,0,0,0,1,0,0.001425027847290039,0.0008001327514648438,1.6689300537109375e-05,2.3126602172851562e-05,0.0,4.267692565917969e-05
17,0,0,25,25,2,1,0.0,0,0,0,1,0,0.001508951187133789,0.0008521080017089844,1.7404556274414062e-05,2.4318695068359375e-05,0.0,4.458427429199219e-05
